symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-07-09 00:00:00+00:00,383.01,385.27,378.69,385.05,31420357,93.301399137,93.8519360996,92.249045297,93.7983440059,125681428,0.0,1.0
AAPL,2020-07-10 00:00:00+00:00,383.68,383.92,378.82,381.34,22564330,93.4646114224,93.5230755246,92.2807133524,92.8945864257,90257320,0.0,1.0
AAPL,2020-07-13 00:00:00+00:00,381.91,399.82,381.03,389.06,47913079,93.0334386685,97.396322297,92.8190702937,94.7751817139,191652316,0.0,1.0
AAPL,2020-07-14 00:00:00+00:00,388.23,389.02,375.51,379.36,42748119,94.5729933604,94.7654376969,91.4743959425,92.4122575824,170992476,0.0,1.0
AAPL,2020-07-15 00:00:00+00:00,390.9,396.99,385.96,395.96,38306874,95.2234064977,96.7069330916,94.0200203935,96.4560246529,153227496,0.0,1.0
AAPL,2020-07-16 00:00:00+00:00,386.09,389.62,383.62,386.25,27645927,94.0516884489,94.9115979525,93.4499953969,94.0906645171,110583708,0.0,1.0
AAPL,2020-07-17 00:00:00+00:00,385.31,388.59,383.36,387.95,23046755,93.8616801167,94.6606895138,93.3866592861,94.5047852412,92187020,0.0,1.0
AAPL,2020-07-20 00:00:00+00:00,393.43,394.0,384.25,385.67,22397208,95.8397155753,95.9785678181,93.6034636652,93.94937627,89588832,0.0,1.0
AAPL,2020-07-21 00:00:00+00:00,388.0,397.0,386.97,396.69,25627347,94.5169652624,96.7093690959,94.2660568237,96.6338529638,102509388,0.0,1.0
AAPL,2020-07-22 00:00:00+00:00,389.09,391.9,386.41,386.77,22250413,94.7824897267,95.4670069236,94.1296405852,94.2173367386,89001652,0.0,1.0
AAPL,2020-07-23 00:00:00+00:00,371.38,388.31,368.039,387.9935,49251108,90.4683261834,94.5924813945,89.6544571604,94.5153818597,197004432,0.0,1.0
AAPL,2020-07-24 00:00:00+00:00,370.46,371.88,356.58,363.95,46359716,90.2442137916,90.5901263964,86.8630398796,88.6583750187,185438864,0.0,1.0
AAPL,2020-07-27 00:00:00+00:00,379.24,379.62,373.92,374.84,30303548,92.3830255313,92.4755936931,91.0870712653,91.3111836572,121214192,0.0,1.0
AAPL,2020-07-28 00:00:00+00:00,373.01,378.1986,372.99,377.47,25906375,90.8653948777,92.1293400477,90.8605228692,91.9518527774,103625500,0.0,1.0
AAPL,2020-07-29 00:00:00+00:00,380.16,380.92,374.85,375.0,22582314,92.6071379231,92.7922742468,91.3136196614,91.3501597253,90329256,0.0,1.0
AAPL,2020-07-30 00:00:00+00:00,384.76,385.19,375.07,376.75,39532505,93.7276998824,93.8324480656,91.3672117551,91.7764604707,158130020,0.0,1.0
AAPL,2020-07-31 00:00:00+00:00,425.04,425.66,403.3,411.535,93573867,103.5399250391,103.6909573031,98.2440517792,100.2501012868,374295468,0.0,1.0
AAPL,2020-08-03 00:00:00+00:00,435.75,446.5457,431.57,432.8,77037847,106.1488856008,108.7787227191,105.1306358204,105.4302643443,308151388,0.0,1.0
AAPL,2020-08-04 00:00:00+00:00,438.66,443.16,433.55,436.53,43198092,106.8577628403,107.953964757,105.6129646638,106.338893933,172792368,0.0,1.0
AAPL,2020-08-05 00:00:00+00:00,440.25,441.57,435.59,437.51,30497988,107.2450875175,107.5666400797,106.1099095327,106.5776223504,121991952,0.0,1.0
AAPL,2020-08-06 00:00:00+00:00,455.61,457.65,439.19,441.62,50607225,110.9867900599,111.4837349288,106.986871066,107.578820101,202428900,0.0,1.0
AAPL,2020-08-07 00:00:00+00:00,444.45,454.7,441.17,452.82,49511403,108.4679616557,110.9694727525,107.6674781047,110.5106590099,198045612,0.82,1.0
AAPL,2020-08-10 00:00:00+00:00,450.91,455.1,440.0,450.4,53100856,110.0445237713,111.0670926977,107.3819397649,109.9200583412,212403424,0.0,1.0
AAPL,2020-08-11 00:00:00+00:00,437.5,449.93,436.4267,447.875,46975594,106.7718151071,109.8053549055,106.5098763891,109.3038324368,187902376,0.0,1.0
AAPL,2020-08-12 00:00:00+00:00,452.04,453.1,441.19,441.99,41486205,110.3203001166,110.5789929715,107.672359102,107.8675989925,165944820,0.0,1.0
AAPL,2020-08-13 00:00:00+00:00,460.04,464.17,455.71,457.72,52520516,112.2726990215,113.2806249561,111.2159631142,111.7065033391,210082064,0.0,1.0
AAPL,2020-08-14 00:00:00+00:00,459.63,460.0,452.18,459.315,41391302,112.1726385776,112.2629370269,110.3544670975,112.0957628707,165565208,0.0,1.0
AAPL,2020-08-17 00:00:00+00:00,458.43,464.35,455.8501,464.25,29431414,111.8797787419,113.3245539314,111.2501545,113.3001489451,117725656,0.0,1.0
AAPL,2020-08-18 00:00:00+00:00,462.25,464.0,456.03,457.41,26408385,112.8120492189,113.2391364793,111.2940590704,111.6308478815,105633540,0.0,1.0
AAPL,2020-08-19 00:00:00+00:00,462.83,468.65,462.44,463.933,36384502,112.9535981395,114.3739683428,112.8584186929,113.2227851385,145538008,0.0,1.0
AAPL,2020-08-20 00:00:00+00:00,473.1,473.568,462.9335,463.0,31726797,115.4599902336,115.5742055695,112.9788573003,112.9950866162,126907188,0.0,1.0
AAPL,2020-08-21 00:00:00+00:00,497.48,499.472,477.0,477.05,84513660,121.409925896,121.8960732233,116.4117846997,116.4239871928,338054640,0.0,1.0
AAPL,2020-08-24 00:00:00+00:00,503.43,515.14,495.745,514.79,86484442,122.8620225815,125.7198464784,120.9864993835,125.6344290263,345937768,0.0,1.0
AAPL,2020-08-25 00:00:00+00:00,499.3,500.7172,492.21,498.79,52873947,121.8540966468,122.1999641128,120.1237831175,121.7296312167,211495788,0.0,1.0
AAPL,2020-08-26 00:00:00+00:00,506.09,507.97,500.33,504.7165,40755567,123.5111952173,123.9700089599,122.1054680058,123.1759927303,163022268,0.0,1.0
AAPL,2020-08-27 00:00:00+00:00,500.04,509.94,495.33,508.57,38888096,122.0346935455,124.4507871903,120.8852186903,124.1164388778,155552384,0.0,1.0
AAPL,2020-08-28 00:00:00+00:00,499.23,505.77,498.31,504.05,46907479,121.8370131564,123.4330992611,121.6124872824,123.0133334966,187629916,0.0,1.0
AAPL,2020-08-31 00:00:00+00:00,129.04,131.0,126.0,127.58,223505733,125.9687773387,127.8821282655,123.0011310034,124.5435261382,223505733,0.0,4.0
AAPL,2020-09-01 00:00:00+00:00,134.18,134.8,130.53,132.76,152470142,130.9864425241,131.5916861846,127.4233145228,129.6002393017,152470142,0.0,1.0
AAPL,2020-09-02 00:00:00+00:00,131.4,137.98,127.0,137.59,200118991,128.2726080464,134.6960004433,123.9773304558,134.3152826568,200118991,0.0,1.0
AAPL,2020-09-03 00:00:00+00:00,120.88,128.84,120.5,126.91,257599640,118.0029898071,125.7735374483,117.6320340152,123.8894725051,257599640,0.0,1.0
AAPL,2020-09-04 00:00:00+00:00,120.96,123.7,110.89,120.07,332607163,118.0810857633,120.7558722629,108.2507572775,117.2122682506,332607163,0.0,1.0
AAPL,2020-09-08 00:00:00+00:00,112.82,118.99,112.68,113.95,231366563,110.1348222207,116.157972842,109.9981542973,111.2379276019,231366563,0.0,1.0
